requirement_ordinal,requirement_id,source_033_row_id,requirement_kind,target_id,status,required_packet,artifact_refs
31,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-112-H862FF7ED6E65,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_112__h862ff7ed6e65,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_112__h862ff7ed6e65 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_112__h862ff7ed6e65.json
32,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-113-H0347BEA9334B,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_113__h0347bea9334b,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_113__h0347bea9334b to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_113__h0347bea9334b.json
33,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-114-H5F8510C3262A,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_114__h5f8510c3262a,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_114__h5f8510c3262a to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_114__h5f8510c3262a.json
34,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-115-HA08ADF2CB113,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_115__ha08adf2cb113,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_115__ha08adf2cb113 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_115__ha08adf2cb113.json
35,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-116-H0C83741BA51B,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_116__h0c83741ba51b,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_116__h0c83741ba51b to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_116__h0c83741ba51b.json
36,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-117-HA1242CA1C801,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_117__ha1242ca1c801,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_117__ha1242ca1c801 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_117__ha1242ca1c801.json
37,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-118-H3D2BF697C293,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_118__h3d2bf697c293,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_118__h3d2bf697c293 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_118__h3d2bf697c293.json
38,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-119-H7338686CDF3B,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_119__h7338686cdf3b,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_119__h7338686cdf3b to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_119__h7338686cdf3b.json
39,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-120-H72936E341514,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_120__h72936e341514,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_120__h72936e341514 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_120__h72936e341514.json
40,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-121-HAD5A09D5FA02,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_121__had5a09d5fa02,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_121__had5a09d5fa02 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_121__had5a09d5fa02.json
41,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-122-HA3A8BFF123E2,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_122__ha3a8bff123e2,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_122__ha3a8bff123e2 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_122__ha3a8bff123e2.json
42,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-123-H408472654B7A,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_123__h408472654b7a,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_123__h408472654b7a to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_123__h408472654b7a.json
43,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-124-H07597D6FD745,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_124__h07597d6fd745,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_124__h07597d6fd745 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_124__h07597d6fd745.json
44,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-125-H77426666B593,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_125__h77426666b593,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_125__h77426666b593 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_125__h77426666b593.json
45,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-126-H78676F77CBEF,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_126__h78676f77cbef,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_126__h78676f77cbef to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_126__h78676f77cbef.json
46,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-127-H6FF28784EC0A,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_127__h6ff28784ec0a,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_127__h6ff28784ec0a to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_127__h6ff28784ec0a.json
47,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-128-H6366EE6B8F34,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_128__h6366ee6b8f34,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_128__h6366ee6b8f34 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_128__h6366ee6b8f34.json
48,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-129-H1DBA08D257E1,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_129__h1dba08d257e1,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_129__h1dba08d257e1 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_129__h1dba08d257e1.json
49,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-130-H79A3AE812176,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_130__h79a3ae812176,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_130__h79a3ae812176 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_130__h79a3ae812176.json
50,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-131-H95FA7EF1C190,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_131__h95fa7ef1c190,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_131__h95fa7ef1c190 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_131__h95fa7ef1c190.json
51,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-132-H33906AB53063,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_132__h33906ab53063,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_132__h33906ab53063 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_132__h33906ab53063.json
52,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-133-H37BA508D59CD,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_133__h37ba508d59cd,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_133__h37ba508d59cd to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_133__h37ba508d59cd.json
53,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-134-HA256DA192B9E,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_134__ha256da192b9e,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_134__ha256da192b9e to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_134__ha256da192b9e.json
54,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-135-HE1B2C597AEFE,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_135__he1b2c597aefe,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_135__he1b2c597aefe to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_135__he1b2c597aefe.json
55,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-136-H011C158812E5,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_136__h011c158812e5,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_136__h011c158812e5 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_136__h011c158812e5.json
56,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-137-HA1583AB62BE3,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_137__ha1583ab62be3,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_137__ha1583ab62be3 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_137__ha1583ab62be3.json
57,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-138-HC3E277ECA806,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_138__hc3e277eca806,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_138__hc3e277eca806 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_138__hc3e277eca806.json
58,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-139-H318F2264ED98,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_139__h318f2264ed98,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_139__h318f2264ed98 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_139__h318f2264ed98.json
59,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-140-HFCD0E57E6C0C,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_140__hfcd0e57e6c0c,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_140__hfcd0e57e6c0c to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_140__hfcd0e57e6c0c.json
60,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-141-HDE60962D7772,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_141__hde60962d7772,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_141__hde60962d7772 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_141__hde60962d7772.json
61,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-142-H7C68D47B6883,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_142__h7c68d47b6883,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_142__h7c68d47b6883 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_142__h7c68d47b6883.json
62,OC35-ARTICLE-FULL-EMPIRICAL-CLOSEOUT,OC33-ARTICLE-FULL-EMPIRICAL-CLOSEOUT-GATE,article_closeout_gate,FULL_EMPIRICAL_CLOSEOUT,OPEN,"Close every domain empirical upgrade, crown theorem-chain, and empirical attack-response mapping before article promotion.",OC_CONTINUOUS_EVIDENCE_PACKET_ARTICLE_BOUNDARY_035.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; formal/python/validate_035.py; formal/OCContinuous/Basic.lean
